UniProt	GeneSymbol
O75177	SS18L1
P62807	HIST1H2BC
Q14669	TRIP12
Q7Z6I8	C5orf24
Q86XI8	ZSWIM9
Q9NRF9	POLE3
Q9NRG0	CHRAC1
Q9Y285	FARSA
P01308	INS
P02787	TF
Q96MG7	NSMCE3
Q96PU4	UHRF2
Q99880	HIST1H2BL
Q9UK33	ZNF580
P46060	RANGAP1
P61764	STXBP1
Q8IXQ4	GPALPP1
Q99680	GPR22
Q9BTM1	H2AFJ
A0AVF1	TTC26
A7MBM2	DISP2
A8MTZ0	BBIP1
O14980	XPO1
O15066	KIF3B
O15105	SMAD7
O43597	SPRY2
O60216	RAD21
O60481	ZIC3
O75093	SLIT1
O75094	SLIT3
O94813	SLIT2
O95393	BMP10
O95405-1	ZFYVE9
O95405	ZFYVE9
P02671	FGA
P02675	FGB
P02679	FGG
P02751	FN1
P04004	VTN
P04049	RAF1
P05106	ITGB3
P05231	IL6
P0CG48	UBC
P17987	TCP1
P18075	BMP7
P18084	ITGB5
P18206	VCL
P18564	ITGB6
P20936	RASA1
P21333	FLNA
P21359	NF1
P21709	EPHA1
P22681	CBL
P23142	FBLN1
P23458	JAK1
P24385	CCND1
P26012	ITGB8
P32121	ARRB2
P32745	SSTR3
P35052	GPC1
P35080	PFN2
P35232	PHB
P35555	FBN1
P35556	FBN2
P36873	PPP1CC
P36897	TGFBR1
P37173	TGFBR2
P40424	PBX1
P40763	STAT3
P41240	CSK
P43026	GDF5
P48059	LIMS1
P48061	CXCL12
P48431	SOX2
P48436	SOX9
P50990	CCT8
P50991	CCT4
P53708	ITGA8
P54826	GAS1
P55001	MFAP2
P55081	MFAP1
P55082	MFAP3
P55083	MFAP4
P60709	ACTB
P61073	CXCR4
P61081	UBE2M
P61224	RAP1B
P62987	UBA52
Q02750	MAP2K1
Q04721	NOTCH2
Q06124	PTPN11
Q08397	LOXL1
Q12805	EFEMP1
Q13418	ILK
Q15283	RASA2
Q15465	SHH
Q15643	TRIP11
Q15672	TWIST1
Q15796	SMAD2
Q15843	NEDD8
Q4KMG0	CDON
Q56NI9	ESCO2
Q5TA89	HES5
Q6KC79	NIPBL
Q7L190	DPPA4
Q7Z4I7	LIMS2
Q7Z4L5	TTC21B
Q7Z569	BRAP
Q7Z5K2	WAPL
Q7Z5R6	APBB1IP
Q7Z698	SPRED2
Q7Z699	SPRED1
Q8IVT5	KSR1
Q8IWZ6	BBS7
Q8IY31	IFT20
Q8N2S1	LTBP4
Q8N3I7	BBS5
Q8N3U4	STAG2
Q8N4P2	TTC30B
Q8TAM1	BBS10
Q8TAM2	TTC8
Q8TCX1	DYNC2LI1
Q8TDR0	TRAF3IP1
Q8TEW0	PARD3
Q8TF09	DYNLRB2
Q92585	MAML1
Q92845	KIFAP3
Q92973	TNPO1
Q969H4	CNKSR1
Q969W9	PMEPA1
Q96EX3	WDR34
Q96FF9	CDCA5
Q96FJ2	DYNLL2
Q96FT9	IFT43
Q96JB6	LOXL4
Q96JK9	MAML3
Q96LB3	IFT74
Q96PU5	NEDD4L
Q96PV0	SYNGAP1
Q9BQE3	TUBA1C
Q9BUB5	MKNK1
Q9BUF5	TUBB6
Q9BVA1	TUBB2B
Q9BW83	IFT27
Q9BWV1	BOC
Q9BXC9	BBS2
Q9BXX0	EMILIN2
Q9GZV8	PRDM14
Q9H0F7	ARL6
Q9NP97	DYNLRB1
Q9NPB6	PARD6A
Q9NPJ1	MKKS
Q9NQ36	SCUBE2
Q9NQ48	LZTFL1
Q9P2E2	KIF17
Q9P2H3	IFT80
Q9UBN7	HDAC6
Q9UQE7	SMC3
Q9UQM7	CAMK2A
Q9Y2N7	HIF3A
Q9Y366	IFT52
Q9Y3F4	STRAP
Q9Y624	F11R
Q9Y6C2	EMILIN1
Q9Y6N7	ROBO1
Q9Y6X3	MAU2
O94886	TMEM63A
P32322	PYCR1
P41091	EIF2S3
P46063	RECQL
Q2M1P5	KIF7
Q8IY37	DHX37
Q96C36	PYCR2
O14770	MEIS2
P25440	BRD2
P30260	CDC27
P35453	HOXD13
P51648	ALDH3A2
P55347	PKNOX1
P57053	H2BFS
Q05D32	CTDSPL2
Q7Z6R9	TFAP2D
Q8IWC1	MAP7D3
Q9NVN8	GNL3L
Q9UGP8	SEC63
Q9UJX3	ANAPC7
Q9UQR0	SCML2
Q9Y483	MTF2
Q14999	CUL7
Q8N3Y1	FBXW8
Q86X55	CARM1
Q96KG9	SCYL1
P35226	BMI1
Q14781	CBX2
Q9HC52	CBX8
Q8IXK0	PHC2
Q8NDX5	PHC3
Q96GD3	SCMH1
Q9BXY8	BEX2
P25791	LMO2
P25786	PSMA1
P25787	PSMA2
P25788	PSMA3
P25789	PSMA4
P28066	PSMA5
P60900	PSMA6
O14818	PSMA7
P20618	PSMB1
P49721	PSMB2
P49720	PSMB3
P28070	PSMB4
P28074	PSMB5
P28072	PSMB6
Q99436	PSMB7
O94805	ACTL6B
Q99728	BARD1
Q93034	CUL5
Q86VP6	CAND1
Q13620	CUL4B
Q9UKU7	ACAD8
Q99708	RBBP8
P14635	CCNB1
Q0VG06	FAAP100
Q9NRL2	BAZ1A
Q16665	HIF1A
Q99966	CITED1
Q99967	CITED2
O95067	CCNB2
P38936	CDKN1A
P24941	CDK2
P11802	CDK4
O94763	URI1
Q9BZH6	WDR11
P49450	CENPA
P07199	CENPB
Q92674	CENPI
Q53SF7	COBLL1
Q69YN4	VIRMA
Q6T4P5	PLPPR3
Q8NEM2	SHCBP1
P20248	CCNA2
P09884	POLA1
Q14181	POLA2
P18858	LIG1
P28340	POLD1
Q07864	POLE
P29590	PML
P01732	CD8A
Q13535	ATR
P35869	AHR
Q7L5Y6	DET1
Q969H0	FBXW7
Q8NFD5	ARID1B
Q9HB71	CACYBP
Q8IUQ4	SIAH1
Q92990	GLMN
Q86XK2	FBXO11
P17542	TAL1
Q6ZRS2	SRCAP
Q15329	E2F5
Q08999	RBL2
Q16254	E2F4
P28749	RBL1
P30279	CCND2
P24864	CCNE1
Q9Y6X2	PIAS3
P25686	DNAJB2
Q9UKG1	APPL1
P49427	CDC34
Q9H211	CDT1
O75164	KDM4A
Q8NFZ0	FBH1
Q5YLB2	BRCA1
Q99741	CDC6
O75496	GMNN
P98177	FOXO4
Q9UKT7	FBXL3
Q49AN0	CRY2
Q6UWZ7	ABRAXAS1
P00519	ABL1
P29083	GTF2E1
P29084	GTF2E2
P32780	GTF2H1
Q13888	GTF2H2
Q13889	GTF2H3
P29374	ARID4A
Q5PSV4	BRMS1L
Q9H160	ING2
Q5W141	BTRC
P46527	CDKN1B
P61024	CKS1B
Q05195	MXD1
Q14919	DRAP1
Q6UW60	PCSK4
P30281	CCND3
Q00534	CDK6
Q00653	NFKB2
Q15653	NFKBIB
O00221	NFKBIE
Q04864	REL
Q04206	RELA
Q01201	RELB
Q99558	MAP3K14
O15084	ANKRD28
Q14164	IKBKE
Q9UPN7	PPP6R1
O75170	PPP6R2
P10276	RARA
Q16543	CDC37
Q13163	MAP2K5
Q99759	MAP3K3
Q9NUG6	PDRG1
Q13576	IQGAP2
P51003	PAPOLA
P35606	COPB2
O60271	SPAG9
Q15025	TNIP1
P23508	MCC
P46199	MTIF2
Q16342	PDCD2
Q9UJF2	RASAL2
P63165	SUMO1
Q9GZT9	EGLN1
Q9H6Z9	EGLN3
P18146	EGR1
Q8IXM2	BAP18
Q6PI98	INO80C
Q9HCK8	CHD8
Q96EZ8	MCRS1
O43451	MGAM
Q9BVI0	PHF20
Q8WWY3	PRPF31
Q6UB99	ANKRD11
P24522	GADD45A
O75293	GADD45B
O95257	GADD45G
P41002	CCNF
Q9H503	BANF2
Q13287	NMI
Q15744	CEBPE
P25490	YY1
Q02577	NHLH2
P61289	PSME3
Q9Y6I7	WSB1
Q9GZX5	ZNF350
Q9BX63	BRIP1
Q15311	RALBP1
Q96RK1	CITED4
Q9ULZ2	STAP1
Q96JP5	ZFP91
Q9HD15	SRA1
Q8IYD8	FANCM
O43791	SPOP
P15923	TCF3
O43463	SUV39H1
P42771	CDKN2A
P10275	AR
Q86WB0	ZC3HC1
Q96RL1	UIMC1
Q92547	TOPBP1
P55072	VCP
P61077	UBE2D3
P68036	UBE2L3
P30291	WEE1
Q9UHV2	SERTAD1
O75604	USP2
P19793	RXRA
Q13438	OS9
O60313	OPA1
Q13635	PTCH1
Q14674	ESPL1
A0MZ66	SHTN1
A1L390	PLEKHG3
A4D1P6	WDR91
A6NDR6	MEIS3P1
A6NHL2	TUBAL3
A6NHQ2	FBLL1
A6NHR9	SMCHD1
A7E2V4	ZSWIM8
A8CG34	POM121C
A8MQT2	GOLGA8B
E9PRG8	C11orf98
O00116	AGPS
O00139	KIF2A
O00159	MYO1C
O00217	NDUFS8
O00264	PGRMC1
O00267	SUPT5H
O00291	HIP1
O00422	SAP18
O00425	IGF2BP3
O00443	PIK3C2A
O00468	AGRN
O00479	HMGN4
O00483	NDUFA4
O00515	LAD1
O00541	PES1
O00560	SDCBP
O00567	NOP56
O00571	DDX3X
O14497	ARID1A
O14519	CDK2AP1
O14639	ABLIM1
O14646	CHD1
O14776	TCERG1
O14880	MGST3
O14908	GIPC1
O14949	UQCRQ
O14957	UQCR11
O14974	PPP1R12A
O14979	HNRNPDL
O15020	SPTBN2
O15042	U2SURP
O15078	CEP290
O15143	ARPC1B
O15144	ARPC2
O15145	ARPC3
O15160	POLR1C
O15173	PGRMC2
O15231	ZNF185
O15260	SURF4
O15294	OGT
O15379	HDAC3
O15381	NVL
O15446	CD3EAP
O15504	NUPL2
O15511	ARPC5
O43143	DHX15
O43167	ZBTB24
O43169	CYB5B
O43175	PHGDH
O43181	NDUFS4
O43251	RBFOX2
O43290	SART1
O43293	DAPK3
O43324	EEF1E1
O43390	HNRNPR
O43491	EPB41L2
O43660	PLRG1
O43678	NDUFA2
O43684	BUB3
O43707	ACTN4
O43795	MYO1B
O43809	NUDT21
O43920	NDUFS5
O60264	SMARCA5
O60306	AQR
O60315	ZEB2
O60341	KDM1A
O60506	SYNCRIP
O60508	CDC40
O60673	REV3L
O60684	KPNA6
O60716	CTNND1
O60762	DPM1
O60814	HIST1H2BK
O60830	TIMM17B
O60832	DKC1
O60869	EDF1
O60884	DNAJA2
O60885	BRD4
O60927	PPP1R11
O60934	NBN
O75071	EFCAB14
O75132	ZBED4
O75152	ZC3H11A
O75153	CLUH
O75165	DNAJC13
O75182	SIN3B
O75190	DNAJB6
O75251	NDUFS7
O75348	ATP6V1G1
O75367	H2AFY
O75369	FLNB
O75376	NCOR1
O75380	NDUFS6
O75400	PRPF40A
O75431	MTX2
O75438	NDUFB1
O75475	PSIP1
O75477	ERLIN1
O75478	TADA2A
O75494	SRSF10
O75528	TADA3
O75530	EED
O75531	BANF1
O75533	SF3B1
O75607	NPM3
O75643	SNRNP200
O75665	OFD1
O75694	NUP155
O75925	PIAS1
O75934	BCAS2
O75947	ATP5PD
O75955	FLOT1
O75956	CDK2AP2
O75964	ATP5MG
O76021	RSL1D1
O76041	NEBL
O76094	SRP72
O94776	MTA2
O94826	TOMM70
O94832	MYO1D
O94880	PHF14
O94901	SUN1
O94905	ERLIN2
O94906	PRPF6
O94986	CEP152
O95071	UBR5
O95104	SCAF4
O95139	NDUFB6
O95178	NDUFB2
O95182	NDUFA7
O95208	EPN2
O95251	KAT7
O95292	VAPB
O95425	SVIL
O95470	SGPL1
O95602	POLR1A
O95619	YEATS4
O95639	CPSF4
O95644	NFATC1
O95782	AP2A1
O95785	WIZ
O95816	BAG2
O95864	FADS2
O95983	MBD3
O96000	NDUFB10
O96008	TOMM40
O96019	ACTL6A
P00387	CYB5R3
P00403	MT-CO2
P01116	KRAS
P02452	COL1A1
P02458	COL2A1
P02461	COL3A1
P02545	LMNA
P02649	APOE
P02786	TFRC
P04075	ALDOA
P04264	KRT1
P04406	GAPDH
P04792	HSPB1
P04843	RPN1
P04844	RPN2
P04899	GNAI2
P05023	ATP1A1
P05026	ATP1B1
P05114	HMGN1
P05141	SLC25A5
P05186	ALPL
P05198	EIF2S1
P05386	RPLP1
P05387	RPLP2
P05388	RPLP0
P05783	KRT18
P06312	IGKV4-1
P06396	GSN
P06493	CDK1
P06576	ATP5F1B
P06748	NPM1
P06753	TPM3
P06899	HIST1H2BJ
P07203	GPX1
P07237	P4HB
P07305	H1F0
P07437	TUBB
P07900	HSP90AA1
P07910	HNRNPC
P07942	LAMB1
P08195	SLC3A2
P08238	HSP90AB1
P08574	CYC1
P08590	MYL3
P08621	SNRNP70
P08670	VIM
P08708	RPS17
P08865	RPSA
P09012	SNRPA
P09234	SNRPC
P09327	VIL1
P09429	HMGB1
P09493	TPM1
P09496	CLTA
P09651	HNRNPA1
P09661	SNRPA1
P09669	COX6C
P09874	PARP1
P0C7X3	CCNYL3
P0CG06	IGLC3; IGLC2
P0CJ79	ZNF888
P0DMV9	HSPA1B
P0DN76	U2AF1L5
P10412	HIST1H1E
P10606	COX5B
P10620	MGST1
P10809	HSPD1
P11021	HSPA5
P11047	LAMC1
P11055	MYH3
P11142	HSPA8
P11166	SLC2A1
P11233	RALA
P11387	TOP1
P11388	TOP2A
P11717	IGF2R
P11940	PABPC1
P12107	COL11A1
P12236	SLC25A6
P12268	IMPDH2
P12270	TPR
P12814	ACTN1
P12829	MYL4
P12882	MYH1
P12883	MYH7
P12956	XRCC6
P13010	XRCC5
P13073	COX4I1
P13533	MYH6
P13591	NCAM1
P13639	EEF2
P13674	P4HA1
P13861	PRKAR2A
P14373	TRIM27
P14406	COX7A2
P14618	PKM
P14649	MYL6B
P14854	COX6B1
P14866	HNRNPL
P14923	JUP
P14927	UQCRB
P15880	RPS2
P15924	DSP
P15954	COX7C
P16401	HIST1H1B
P16402	HIST1H1D
P16403	HIST1H1C
P16615	ATP2A2
P17066	HSPA6
P17096	HMGA1
P17302	GJA1
P17480	UBTF
P17844	DDX5
P18077	RPL35A
P18124	RPL7
P18583	SON
P18621	RPL17
P18859	ATP5PF
P19105	MYL12A
P19237	TNNI1
P19338	NCL
P19387	POLR2C
P19388	POLR2E
P19404	NDUFV2
P19784	CSNK2A2
P20020	ATP2B1
P20226	TBP
P20674	COX5A
P20700	LMNB1
P20908	COL5A1
P21281	ATP6V1B2
P21741	MDK
P21796	VDAC1
P21980	TGM2
P22087	FBL
P22090	RPS4Y1
P22234	PAICS
P22626	HNRNPA2B1
P22695	UQCRC2
P23246	SFPQ
P23284	PPIB
P23396	RPS3
P23528	CFL1
P24001	IL32
P24539	ATP5PB
P24844	MYL9
P24928	POLR2A
P25205	MCM3
P25391	LAMA1
P25398	RPS12
P25685	DNAJB1
P25705	ATP5F1A
P26368	U2AF2
P26373	RPL13
P26599	PTBP1
P26641	EEF1G
P27105	STOM
P27348	YWHAQ
P27635	RPL10
P27695	APEX1
P27708	CAD
P27797	CALR
P27816	MAP4
P27824	CANX
P28289	TMOD1
P28331	NDUFS1
P28370	SMARCA1
P29372	MPG
P29375	KDM5A
P29536	LMOD1
P29692	EEF1D
P29966	MARCKS
P30048	PRDX3
P30049	ATP5F1D
P30050	RPL12
P30101	PDIA3
P30153	PPP2R1A
P30414	NKTR
P30876	POLR2B
P31040	SDHA
P31327	CPS1
P31689	DNAJA1
P31930	UQCRC1
P31942	HNRNPH3
P31943	HNRNPH1
P32969	RPL9P7; RPL9P8; RPL9; RPL9P9
P33240	CSTF2
P33991	MCM4
P35030	PRSS3
P35221	CTNNA1
P35222	CTNNB1
P35249	RFC4
P35250	RFC2
P35251	RFC1
P35268	RPL22
P35579	MYH9
P35580	MYH10
P35609	ACTN2
P35611	ADD1
P35613	BSG
P35637	FUS
P35658	NUP214
P35659	DEK
P35968	KDR
P36542	ATP5F1C
P36578	RPL4
P37108	SRP14
P37198	NUP62
P37268	FDFT1
P38159	RBMX
P38606	ATP6V1A
P38646	HSPA9
P38919	EIF4A3
P39019	RPS19
P39023	RPL3
P39060	COL18A1
P39656	DDOST
P40429	RPL13A
P40938	RFC3
P42167	TMPO
P42285	MTREX
P42677	RPS27
P42696	RBM34
P42704	LRPPRC
