,Endocardial/Endothelial,Epicardium,Lateral Plate Mesoderm,Multipotent Progenitors,Myocardium,Neural Crest,Paraxial Mesoderm
Xkr4,0.000248664,0.000634119,0.004890059,0.000259763,0.000338232,0,9.34E-05
Rp1,0.000580659,0.000641985,0,0.000102478,0.000440246,0,0.000967891
Sox17,1.31885247,0.004354496,0.001409543,0.006317768,0.004260234,0.003392379,0.004226033
U6.1,0.000224579,0.000617404,0,4.51E-05,0.000105483,8.26E-05,0
Mrpl15,1.981193172,1.872891985,1.806120685,2.031934813,1.848417926,2.663027333,2.250246826
Lypla1,0.805652435,0.704903615,0.74444611,0.703461385,0.765071909,0.699604797,0.750867194
Tcea1,0.708105743,0.814803631,0.687469528,0.800019126,0.62508084,0.855469521,0.766830814
Gm6104,0.162340278,0.200234656,0.095519898,0.25084235,0.077018093,0.277769901,0.131864556
Rgs20,0.001790514,0,0,0.000846939,0.00082033,0.000676081,0.000923327
Atp6v1h,0.311813644,0.310265981,0.194085911,0.207166823,0.354374053,0.236510216,0.145540278
Oprk1,0.000486344,0.005730597,0.001305886,0.009993602,0.026601879,0.000259007,0.000325039
Npbwr1,0,0.001218848,0.003762439,0.000532846,0.000325937,0,0
Rb1cc1,0.367998993,0.406266682,0.468866301,0.36104042,0.444665614,0.248130267,0.315491019
4732440D04Rik,0.000277085,0.000473643,0,0.000816445,0.000325654,0,0
Fam150a,0,0.000427091,0.000724228,0.003709052,0.000304687,0.001063227,0.007952619
St18,0,0,0,0.000108429,0,0,0.00049907
Pcmtd1,0.235170873,0.185063279,0.161228472,0.19700821,0.236488358,0.135554268,0.194788491
Gm9826,0.000111257,0.000939502,0,0.000162354,0.000147554,0,0
AC103380.1,0.001398889,0.003092005,0.005639222,0.002496177,0.004039443,0.002181343,0.003219143
Sntg1,0,0,0,0.00017308,0,0,0
Gm15452,0.048069642,0.049025754,0.027286244,0.051486079,0.034093255,0.063855392,0.039531891
AC163389.1,0,0,0.000824543,0,0,0,0.000470028
Gm7493,0,0,0,0,0,0.000147178,0
Rrs1,1.778666924,1.910414507,1.862698504,2.157329974,1.045997023,3.164490572,2.682489359
Adhfe1,0.001560095,0.004428736,0,0.003080005,0.003462026,0.002536244,0.004145779
2610203C22Rik,0.096803228,0,0.0004372,0.000445329,0.000260413,0.001265428,0.000590423
Gm6161,0.000372938,0.00029781,0,0.000209329,0.000502046,0.000733695,0
Mybl1,0.01428456,0.030629193,0.026223451,0.016319953,0.01467616,0.012760082,0.014496134
Vcpip1,0.186866467,0.194903727,0.172050456,0.177055688,0.175580514,0.1617778,0.156618761
AC158928.1,0.000680607,0.000745926,0,0.001139239,0.000782772,0.000859763,0.001560879
Sgk3,0.09176946,0.01783556,0.011667632,0.016322262,0.029903305,0.012652241,0.006703454
Gm6195,0.00113718,0.000945689,0,0.001438189,0.00146908,0.001114548,0.000910643
6030422M02Rik,0.006843199,0.007602281,0.008046709,0.013637781,0.007955074,0.012157604,0.011323755
Gm10567,0.000459433,0.004936239,0.000926344,0.001767944,0.020649637,0.00054925,0.000780501
Ppp1r42,0,0,0,0.000698307,0.000598675,0.000237624,0.000306948
Cops5,2.096158836,1.978938555,2.526487942,1.91416064,1.874963301,2.042979718,1.975070931
Cspp1,0.273965789,0.419610801,0.319679926,0.384860604,0.279545453,0.340233791,0.364773395
Arfgef1,0.266473461,0.256960173,0.264636271,0.191745271,0.3320903,0.193340235,0.198905371
Cpa6,0.000515583,0.00026104,0.002103789,0.001060028,0.000790764,0.000147768,0.000396425
Gm15604,0.004491592,0.003691691,0.004547552,0.004284764,0.00299897,0.006855218,0.000971188
Gm15603,0,0,0,0,0.000157083,0,0.000296119
Prex2,0.281777564,0.030066062,0.024688982,0.093707623,0.008851907,0.109845787,0.101945979
A830018L16Rik,0.002056007,0.000823731,0,0.001873399,0.001336937,0.001431892,0.002417478
RP23-138D5.1,0.000306623,0.001534284,0,0.001837235,0.0016538,0.001513183,0.000841706
AC136316.1,0,0,0,0.000445844,0,0.000580265,0.000181186
Sulf1,0.06531275,0.11810399,0.188668241,0.114948525,0.028290478,0.035631803,0.149530689
Slco5a1,0.00131389,0.014254223,0.009127087,0.012638769,0.010509724,0.002224563,0.005961639
Ncoa2,0.105939713,0.136401698,0.128434161,0.140204944,0.103675875,0.107540248,0.104062543
Tram1,1.730743593,1.245527907,1.757173943,0.977033823,1.151231992,0.720409884,1.002689417
Lactb2,0.116322269,0.154341872,0.284453103,0.128029149,0.171344289,0.140922233,0.166562338
Xkr9,0,0,0,0,0.000138474,0,0
RP23-70F22.1,0.037656453,0.030086654,0.033434599,0.056038407,0.057987775,0.059246987,0.052678011
Eya1,0.022502355,0.005548262,0.006160035,0.098053413,0.007326074,0.053589201,0.174924168
Msc,0.00199198,0.004616821,0.001114158,0.049194794,0.001748269,0.001471448,0.018136429
Gm9947,0,0.000546959,0,0.002108297,3.88E-05,0.000356815,0.001843694
Smt3h2-ps4,0.000362975,0,0,0.00072995,0.000245539,0.000268241,0.000104676
Rpl5-ps1,0.192819924,0.180546079,0.134858147,0.188904929,0.176036325,0.268257155,0.144340789
Trpa1,0.000177929,0,0.001729561,0.000931785,0.00011711,0.000312978,0.000706007
Gm10566,0.003881101,0.004444127,0.0033928,0.007437024,0.008753707,0.011210278,0.006964728
Kcnb2,0.000424479,0.007477218,0,0.003295695,0.0032258,0.000422225,0.004305728
Kcnb2.1,0.000880451,0.001792872,0,0.001516557,0.001847743,0.000331183,0.000754116
Terf1,0.553958478,0.472086259,0.552393995,0.620312786,0.331628431,0.71348987,0.613082071
Gm106,0.001974421,0.000358098,0.001536901,0.003844285,0.002969064,0.000244646,0.004743886
4930444P10Rik,0.001628968,0.00095881,0,0.004261659,0.000939523,0.001710849,0.005523364
Rpl7,26.190019,21.59820734,22.81571753,29.20516176,21.97331772,30.00503767,30.91071323
Rdh10,0.078701102,0.041581526,0.059815275,0.504729075,0.05862574,0.059312886,0.36145309
Stau2,0.135293423,0.132279335,0.080592911,0.226656897,0.192413212,0.154729682,0.126706177
Gm7568,0,0,0,0,0,0,0.000469357
Ube2w,0.537559196,0.557802534,0.375014422,0.49748535,0.469908224,0.429361491,0.40561805
Tceb1,3.425893177,3.697401236,3.53259449,3.265461618,3.856100471,3.296195171,3.060624065
AC157362.1,0.001048547,0.000941984,0.001642826,0.002126954,0.001966247,0.001007388,0.00170811
Tmem70,0.739129369,0.781768915,0.831130277,0.713802947,0.750035942,0.947605574,0.670951957
Ly96,0.060707064,0.043739484,0.032560674,0.033358851,0.060438433,0.041537454,0.017873571
Gm5828,0.004580438,0.003641823,0,0.004594896,0.004266742,0.007060455,0.004507719
Jph1,0.040454189,0.041543325,0.045739538,0.039897288,0.059029033,0.059442082,0.087681127
Gdap1,0.000792732,0.002907161,0.001084125,0.002472988,0.001571724,0.002459115,0.002990537
Pi15,0,0.001057934,0,0.000773219,0.002126877,0,0.000403687
Gm16070,0.002513456,0.013641007,0.013057161,0.009843535,0.001620128,0.00590726,0.013817911
Crispld1,0.041491241,0.512883409,0.291516105,0.162888897,0.037476722,0.143446926,0.168670419
Tfap2d,0,0,0,0,0,0,0.000138418
Gm10075,3.254388702,4.1394266,2.86538356,4.657748656,2.288895919,4.309811121,3.537753344
Tfap2b,0.01255976,0.002216918,0,0.01161456,0.004698289,0.708174199,0.018203322
Pkhd1,0,0,0,5.32E-05,8.02E-05,0.004601908,0.000138418
Gm15795,0.002162063,0.001553768,0.000594147,0.003596034,0.003428273,0.006694746,0.004499782
Il17f,0.001051035,0,0,0.001244553,0.000496068,0.000778256,0.000344191
Mcm3,2.320751762,1.604724133,1.432113018,2.007488122,1.236788808,2.222206794,2.230740441
AC156980.1,0.001083731,0,0.001374265,0.001112484,0.000809702,0.000967289,0.00085104
Paqr8,0.009079619,0.010638833,0.003376303,0.005867272,0.005374242,0.003289407,0.006119673
Efhc1,0.00929384,0.009363147,0.005720482,0.005944101,0.001689352,0.004189538,0.004635826
Tram2,0.150241975,0.128620708,0.283102752,0.091213069,0.061305305,0.06931098,0.082258205
Tmem14a,0.055050125,0.086678193,0.067717483,0.075323254,0.145416901,0.036049766,0.05479391
Gsta3,0,0.00149739,0.000809231,0.000574032,0.000219749,0.000184877,0
CETN4,0,0.00029562,0,0.000144797,0.000250482,0,0
Gm4956,0.00013348,0,0,0,0,0,0
Khdc1a,0,0,0,0.000172146,0,0,0
Khdc1c,0,0,0,0,0,0,0
Kcnq5,0.018174019,0.055616538,0.009427396,0.018296928,0.026694515,0.002267897,0.001251662
Gm7658,0.27839701,0.2956911,0.186850784,0.264807702,0.250213219,0.382761426,0.179573954
AC125483.1,0.000340434,0.000436716,0,0.0003803,0.000871411,0,0
Rims1,0.000983897,0.009475333,0.002250897,0.007291196,0.003255731,0.003204288,0.014276979
4933415F23Rik,9.35E-05,0,0,0.000548581,5.63E-05,0.000478035,0
Ogfrl1,0.292507693,0.272459399,0.187304866,0.223963783,0.172496531,0.148920469,0.201710789
RP24-361E14.1,0,0,0,5.94E-05,0.000193195,0,0
B3gat2,0.000660128,0.002264166,0.001563303,0.001331354,0.001347103,0.000471036,0.001059904
Smap1,1.650564511,1.638892421,1.507832628,1.329577766,1.078143565,1.262448745,1.186309604
1110058L19Rik,0.760008383,0.883114335,0.902508338,0.76574487,1.043371448,0.62414839,0.697730806
ENSMUSG00000053484,0,0,0,0.000430122,0,0.000346704,0
Fam135a,0.129299911,0.127714966,0.094281382,0.124907335,0.118738973,0.121402647,0.153770662
Col9a1,0.04778455,0.183584693,0.248590292,0.209694372,0.063787953,0.552586675,0.317601804
Col19a1,0,0,0,7.34E-05,0.000241708,0.001064233,0.000123446
Gm10222,0.010839464,0.008529172,0.004288949,0.015221495,0.011694233,0.015751873,0.008162118
Lmbrd1,0.212951094,0.236510196,0.221554175,0.184362556,0.22859228,0.146967495,0.198685769
Bai3,0.001017822,0.001333379,0.000775738,0.003586049,0.002490128,0.002422839,0.003967404
Gm15702,0,0,0,0.000565613,0.00033786,0.000566919,0
Gm9884,0,0,0,6.13E-05,0,0,0
Gm7846,0.051812682,0.059228109,0.056062662,0.069706945,0.049187251,0.105494978,0.053292943
Gm5697,0.00330811,0.002862341,0.001145133,0.004166505,0.002493359,0.00716833,0.003406097
Gm6462,0.001308249,0.002374369,0.002176228,0.001893598,0.001404963,0.00314059,0.00270137
Phf3,0.329704555,0.432241544,0.401343811,0.418385074,0.299110011,0.412173294,0.46243441
Ptp4a1,1.67696296,2.157155098,2.019094367,2.250192846,1.583354049,2.110591639,2.362695063
Gm5698,0,0,0,2.86E-05,0,0,0
4931428L18Rik,0,0,0,0,0,0,0.000303838
Gm10307,0.013857714,0.009842524,0.007954192,0.008408671,0.00858677,0.009451312,0.006079172
Khdrbs2,0,0.00093683,0.001364949,0.000685003,0.001075609,0,0
Gm5415,0.000399986,0,0,7.34E-05,0,0,0
Prim2,0.248863764,0.269333131,0.250468861,0.276429661,0.1662882,0.32013744,0.225084605
1700001G17Rik,0.001553411,0.003622126,0.003445419,0.003116202,0.002810519,0.002614952,0.004219176
Rab23,0.153172265,0.192670866,0.153094495,0.179072195,0.108082222,0.224592105,0.172464951
Bag2,0.518970535,0.715018697,0.86453096,0.764591199,1.455398599,0.680191371,0.71604694
Zfp451,0.377162075,0.395556976,0.267013137,0.376197305,0.266441554,0.405443045,0.322212994
Gm15455,0.006127027,0.006243948,0.00597136,0.00788187,0.002945055,0.012944493,0.00529993
Bend6,0.004399042,0.019240096,0.016862582,0.013087463,0.008415444,0.017126063,0.012995422
Dst,0.093291251,0.204752442,0.26561747,0.162771723,0.215820825,0.092403886,0.165266488
AC127433.1,0.009163375,0.004850132,0.004088769,0.003192685,0.004666939,0.001811779,0.002008102
Ccdc115,0.808777278,0.740214367,0.738157911,0.758832957,1.020361561,0.834905549,0.783818035
Imp4,1.147549598,0.893918257,1.16711728,0.981749255,0.639249084,1.392958491,1.249523236
Ptpn18,0.331010127,0.023425886,0.08408505,0.018499822,0.055912792,0.018116218,0.003826222
Prss39,7.96E-05,0,0,0.00015829,0.000302637,0,0
Cfc1,0.011567199,0.103329023,0.97657138,0.263730371,0.371202939,0.001187008,0.012907527
Prss40,0,0,0.001086149,4.30E-05,0.000943554,0,0
Fam123c,0,0.001034352,0.0070875,0.003606264,0.003066365,0,0
Arhgef4,0.005739044,0.006143626,0.010540257,0.01424716,0.020854655,0.005087409,0.014227517
Fam168b,0.378281666,0.465024268,0.387406778,0.49024284,0.38187941,0.481191178,0.424485066
Plekhb2,0.075665026,0.059699854,0.034171384,0.040238728,0.103841991,0.02037485,0.03025757
Hs6st1,0.024580783,0.069913101,0.041344962,0.035257779,0.07510343,0.020689431,0.037049219
Uggt1,0.213094819,0.220667651,0.232445018,0.161348167,0.142542097,0.16393284,0.164779699
Neurl3,0.00449528,0.008157828,0.000744276,0.00102471,0.001296931,0,0
Arid5a,0.031592944,0.005724995,0,0.004109251,0.006941591,0.004235042,0.00671711
Kansl3,0.085307057,0.108796283,0.10285973,0.101140954,0.10291689,0.094030396,0.101421373
Fer1l5,0,0,0,0.000142055,0.001166144,0,0.001305055
Lman2l,0.158379632,0.225590313,0.212298564,0.218325143,0.327519135,0.173241124,0.191224604
Cnnm4,0.020934399,0.039435608,0.012583905,0.034295534,0.019190492,0.045106237,0.022211584
Cnnm3,0.044832982,0.047845605,0.054822075,0.05870197,0.03610039,0.047694065,0.061590554
Ankrd23,0.00233508,0.001967556,0.000968495,0.001437021,0.001025391,0.001948018,0.000627441
Ankrd39,0.121803509,0.089184367,0.104748941,0.087520633,0.118111701,0.093774396,0.094154348
