,Atrial,AVC,EMP,OFT,SV,Ventricle
Xkr4,0.001361284,0,0,0,0.000434475,0.000494656
Rp1,0,0.000337983,0.001555373,0.000427078,0,0.000196207
Sox17,0.003387612,0.003720255,0.006966059,0.003787206,0.004192194,0.003475885
U6.1,0,0,0.000603923,0,0,0
Mrpl15,1.872712321,1.607035461,1.809936637,1.485018525,1.584796313,2.247670809
Lypla1,0.745634775,0.847273472,0.785540481,0.744291138,0.740349496,0.749282239
Tcea1,0.572795376,0.5649919,0.610995125,0.661379667,0.704641892,0.615546373
Gm6104,0.051036361,0.051720274,0.091287784,0.097027242,0.132676026,0.050612413
Rgs20,0,0.001147322,0.000666872,0.002301927,0,0.000672517
Atp6v1h,0.351539727,0.412702279,0.323930668,0.464815715,0.327697865,0.309562367
Oprk1,0.007009713,0.062593805,0.026795453,0.014562875,0.020266002,0.026750165
Npbwr1,0,0,0,0,0.001928139,0.00013175
Rb1cc1,0.463864292,0.538616692,0.36221422,0.593569743,0.476586709,0.3637363
4732440D04Rik,0,0,0.001089246,0.000447928,0.00045747,0
Fam150a,0.001229227,0,0,0.000958921,0,0.000169535
St18,0,0,0,0,0,0
Pcmtd1,0.259527643,0.33932001,0.161400246,0.238961322,0.259910987,0.220579187
Gm9826,0,0,0,0,0.000276667,0.000333647
AC103380.1,0.005161304,0.002627577,0.002863112,0.002233323,0.002972209,0.006263295
Sntg1,0,0,0,0,0,0
Gm15452,0.030999849,0.033041848,0.028180027,0.027431308,0.038723064,0.039572193
AC163389.1,0,0,0,0,0,0
Gm7493,0,0,0,0,0,0
Rrs1,0.842506837,0.514653309,1.234237293,0.993310827,1.025753272,1.232232056
Adhfe1,0.001284712,0.003383387,0.001561863,0.000768794,0.009286521,0.00370861
2610203C22Rik,0,0,0.000365889,0,0,0.000613663
Gm6161,0,0,0,0.002087981,0.000388553,0.000398213
Mybl1,0.016729174,0.012090726,0.010929125,0.011659654,0.018549749,0.016801327
Vcpip1,0.160893146,0.189315248,0.159305504,0.214582789,0.190094533,0.157997623
AC158928.1,0.000392474,0.0011705,0.000715633,0.001398505,0.000216613,0.000744792
Sgk3,0.010362956,0.042392822,0.04067969,0.020455779,0.022799356,0.032256749
Gm6195,0.001036129,0.002241354,0.001584961,0.000318012,0.002470901,0.001315513
6030422M02Rik,0.00401762,0.010635668,0.006256067,0.005088317,0.010005892,0.009335375
Gm10567,0.012470183,0.062871476,0.025133579,0.004008231,0.004327792,0.019846334
Ppp1r42,0.001819209,0.000944569,0,0,0.000524059,0.000788645
Cops5,1.895872224,1.886738453,2.183819232,1.839075928,1.992859877,1.65934602
Cspp1,0.238133126,0.273569113,0.266468506,0.387346782,0.373576774,0.205562453
Arfgef1,0.297092478,0.397029858,0.28024268,0.254791658,0.318766719,0.387984098
Cpa6,0.001193204,0.002127527,0,0,0.00218065,0.000347259
Gm15604,0.00192434,0.002835665,0.000955995,0.00174582,0.004025716,0.004583598
Gm15603,0,0.000788963,0,0,0,0.000192845
Prex2,0.008911235,0.001675051,0.015821771,0.010604648,0.015255586,0.00396764
A830018L16Rik,0,0.000419783,0.001415248,0.003131031,0.001936825,0.000868511
RP23-138D5.1,0.001722796,0.001137084,0.000624148,0.002673779,0.002909632,0.001330789
AC136316.1,0,0,0,0,0,0
Sulf1,0.002836057,0.035869021,0.026251786,0.031433376,0.02637353,0.032699694
Slco5a1,0.002450872,0.005542831,0.007137473,0.009564885,0.021643573,0.011697668
Ncoa2,0.102920357,0.110476899,0.087522141,0.128277677,0.101928428,0.099247497
Tram1,1.089342568,1.268906259,1.23740653,1.254501339,1.110184685,1.046126938
Lactb2,0.1674308,0.190437376,0.178018424,0.120438323,0.141214949,0.199548608
Xkr9,0,0,0,0,0,0.00043244
RP23-70F22.1,0.06561649,0.067777813,0.054203463,0.058881296,0.050332239,0.057423629
Eya1,0.008362546,0.006874766,0.008477883,0.01443109,0.009144865,0.00238431
Msc,0.002043122,0.00074838,0.003887456,0.001427085,0.003600689,0.000181476
Gm9947,0,0,0.000222154,0,0,0
Smt3h2-ps4,0.000521239,0,0,0,0,0.000628205
Rpl5-ps1,0.169302371,0.138772681,0.179470459,0.18550846,0.155600195,0.194910593
Trpa1,0,0,0.000670488,0,0,0
