"Gene"	"Gene synonym"	"Ensembl"	"Gene description"	"Uniprot"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA cell line specificity"	"RNA cell line distribution"
"A2M"	"CPAMD5, FWP007, S863-7"	"ENSG00000175899"	"Alpha-2-macroglobulin"	"P01023"	"Tissue enhanced"	"Detected in many"	NA	"Group enriched"	"Detected in some"
"AAAS"	NA	"ENSG00000094914"	"Aladin WD repeat nucleoporin"	"Q9NRG9"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"AACS"	"ACSF1, FLJ12389, SUR-5"	"ENSG00000081760"	"Acetoacetyl-CoA synthetase"	"Q86V21"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"AAK1"	"DKFZp686K16132, KIAA1048"	"ENSG00000115977"	"AP2 associated kinase 1"	"Q2M2I8"	"Tissue enriched"	"Detected in all"	4	"Low cell line specificity"	"Detected in many"
"AAMP"	NA	"ENSG00000127837"	"Angio associated migratory cell protein"	"Q13685"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"AASS"	"LKRSDH, LORSDH"	"ENSG00000008311"	"Aminoadipate-semialdehyde synthase"	"Q9UDR5"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"ABAT"	"GABAT"	"ENSG00000183044"	"4-aminobutyrate aminotransferase"	"P80404"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"ABCA12"	"DKFZP434G232, ICR2B, LI2"	"ENSG00000144452"	"ATP binding cassette subfamily A member 12"	"Q86UK0"	"Tissue enhanced"	"Detected in some"	NA	"Cell line enhanced"	"Detected in some"
"ABCA13"	"FLJ33876, FLJ33951"	"ENSG00000179869"	"ATP binding cassette subfamily A member 13"	NA	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"ABCA3"	"ABC-C, ABC3, EST111653, LBM180"	"ENSG00000167972"	"ATP binding cassette subfamily A member 3"	"Q99758"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"ABCA4"	"ABCR, ARMD2, CORD3, FFM, RP19, STGD, STGD1"	"ENSG00000198691"	"ATP binding cassette subfamily A member 4"	"P78363"	"Tissue enriched"	"Detected in some"	6	"Cell line enhanced"	"Detected in some"
