UniprotID		Genename	subcellular location
Q9Y5K6	Q9Y5K6	CD2AP	Cytoskeleton
Q9Y4W2	Q9Y4W2	LAS1L	Nucleus
Q9Y383	Q9Y383	LUC7L2	Nucleus
Q9Y2J2	Q9Y2J2	EPB41L3	Cytoskeleton
Q9ULU4	Q9ULU4	ZMYND8	Nucleus
Q9UI95	Q9UI95	MAD2L2	Nucleus
Q9BVA1	Q9BVA1	TUBB2B	cytoskeleton
Q9NYJ8	Q9NYJ8	TAB2	Nucleus
Q9NWB6	Q9NWB6	ARGLU1	Nucleus
Q9NVM9	Q9NVM9	INTS13	Nucleus
Q9HD42	Q9HD42	CHMP1A	Nucleus
Q9HCI7	Q9HCI7	MSL2	Nucleus
Q9H8Y1	Q9H8Y1	VRTN	Nucleus
Q9H8M2	Q9H8M2	BRD9	Nucleus
Q9H444	Q9H444	CHMP4B	Nucleus
Q9C0B0	Q9C0B0	UNK	Nucleus
Q9BZF1	Q9BZF1	OSBPL8	nucleus
Q9BY43	Q9BY43	CHMP4A	nucleus
Q9BXA9	Q9BXA9	SALL3	nucleus
Q9BQE3	Q9BQE3	TUBA1C	Cytoskeleton
Q9BT23	Q9BT23	LIMD2	nucleus
Q99569	Q99569	PKP4	Cytoskeleton
Q96S97	Q96S97	MYADM	Cytoskeleton
Q99878	Q99878	HIST1H2AJ	nucleus
P46821	P46821	MAP1B	Cytoskeleton
Q96SY0	Q96SY0	INTS14	nucleus
P45379	P45379	TNNT2	Cytoskeleton
P27816	P27816	MAP4	Cytoskeleton
Q96JM3	Q96JM3	CHAMP1	Nucleus
P19237	P19237	TNNI1	Cytoskeleton
Q96FZ7	Q96FZ7	CHMP6	Nucleus
Q96EY4	Q96EY4	TMA16	Nucleus
Q96CP6	Q96CP6	GRAMD1A	nucleus
Q93050	Q93050	ATP6V0A1	nucleus
Q92925	Q92925	SMARCD2	nucleus
Q92841	Q92841	DDX17	nucleus
P15924	P15924	DSP	Cytoskeleton
Q92574	Q92574	TSC1	Nucleus
Q8WUU5	Q8WUU5	GATAD1	Nucleus
P0DMV9	P0DMV9	HSPA1B	Cytoskeleton
Q8TB72	Q8TB72	PUM2	Nucleus
Q8TAQ2	Q8TAQ2	SMARCC2	Nucleus
Q8N9M1	Q8N9M1	C19orf47	Nucleus
Q8N594	Q8N594	MPND	Nucleus
Q8IZQ5	Q8IZQ5	SELENOH	Nucleus
Q8IYA6	Q8IYA6	CKAP2L	Nucleus
P09493	P09493	TPM1	Cytoskeleton
Q86XN7	Q86XN7	PROSER1	Nucleus
Q86T03	Q86T03	PIP4P1	Nucleus
Q6VMQ6	Q6VMQ6	ATF7IP	Nucleus
Q6Q0C0	Q6Q0C0	TRAF7	Nucleus
Q5VWN6	Q5VWN6	FAM208B	Nucleus
Q5VTE0	Q5VTE0	EEF1A1P5	Nucleus
Q5VT25	Q5VT25	CDC42BPA	Nucleus
Q5T5X7	Q5T5X7	BEND3	Nucleus
P09327	P09327	VIL1	Cytoskeleton
Q4VC05	Q4VC05	BCL7A	Nucleus
O43491	O43491	EPB41L2	Cytoskeleton
Q3KQU3	Q3KQU3	MAP7D1	Nucleus
Q2Q1W2	Q2Q1W2	TRIM71	Nucleus
Q9BSD7	Q9BSD7	NTPCR	cytosol
Q15398	Q15398	DLGAP5	Nucleus
Q14257	Q14257	RCN2	Nucleus
Q14254	Q14254	FLOT2	Nucleus
Q14202	Q14202	ZMYM3	Nucleus
Q13619	Q13619	CUL4A	Nucleus
Q13085	Q13085	ACACA	Nucleus
Q12996	Q12996	CSTF3	Nucleus
Q92743	Q92743	HTRA1	cytosol
P84090	P84090	ERH	Nucleus
Q562E7	Q562E7	WDR81	Cytosol
Q3ZCM7	Q3ZCM7	TUBB8	cytosol
Q01449	Q01449	MYL7	cytosol
P63316	P63316	TNNC1	Nucleus
P83731	P83731	RPL24	cytosol
P68371	P68371	TUBB4B	cytosol
P62847	P62847	RPS24	Nucleus
P62280	P62280	RPS11	Nucleus
P62269	P62269	RPS18	Nucleus
P62266	P62266	RPS23	Nucleus
P62258	P62258	YWHAE	Nucleus
P62244	P62244	RPS15A	Nucleus
P61981	P61981	YWHAG	Nucleus
P68363	P68363	TUBA1B	cytosol
P63261	P63261	ACTG1	cytosol
P63173	P63173	RPL38	cytosol
P61254	P61254	RPL26	Nucleus
P61513	P61513	RPL37A	cytosol
P61421	P61421	ATP6V0D1	cytosol
P55081	P55081	MFAP1	Nucleus
P61160	P61160	ACTR2	cytosol
P59998	P59998	ARPC4	cytosol
P51116	P51116	FXR2	Nucleus
P49458	P49458	SRP9	Cytosol
P47756	P47756	CAPZB	Cytosol
P47755	P47755	CAPZA2	Cytosol
P38606	P38606	ATP6V1A	Cytosol
P27348	P27348	YWHAQ	Cytosol
P21281	P21281	ATP6V1B2	Cytosol
P12829	P12829	MYL4	Cytosol
P08590	P08590	MYL3	Cytosol
P07437	P07437	TUBB	Cytosol
P38159	P38159	RBMX	Nucleus
P35637	P35637	FUS	Nucleus
P35268	P35268	RPL22	Nucleus
O75153	O75153	CLUH	Cytosol
P31689	P31689	DNAJA1	Nucleus
